date,title,body_text
2015-01-01,Danielle Goldfarb: Five trade trends for 2015 and how Canada can take advantage of them,"despite challenges in the global economy, in 2015, there will be important opportunities available for canada to grow its international trade. the federal government is opening doors to new markets including the european union and korea. with expertise, products, and resources that are in demand in global markets, canadian companies can position themselves to step through those doors. we have identified 5 trade trends for 2015, based on conference board of canada research by the .five of canada s top 10 fastest growing exports over the past decade have been services. canadian leaders need to think beyond selling physical products and resources and consider ways to sell our services and expertise directly into other markets. for businesses, a face - to - face presence with clients is needed, with a deeper engagement than simply a shipping label. for policy - makers, that means paying more attention to moving people and the importance of companies setting up a local presence in global markets. thus, issues such as access to direct flights and visa requirements are becoming more important than they have been in the past.over the past decade canada s exports to the you.s. have flat - lined. exporters have traditionally focused mainly on the you.s., even though canada is losing market share there, mainly to china and other emerging markets. the you.s. will remain canada s most important future market, but companies have to look for growth elsewhere. face long - term and serious energy, water, and food challenges. canada has expertise and products or technologies in all of these areas. for instance, food products are canada s second fastest - growing export. in areas such as consumer products, canada can take advantage of the growing middle class in emerging economies for services and higher - end products. for example, canada is now brazil s fourth - largest source of cosmetic imports, and malaysia s fifth - largest source of pet food imports.the gap between high - performing canadian companies and weak performers in global markets is significant, and it is extremely wide in emerging markets in particular. our shows clearly that constant innovation is critical to sustaining a presence in international markets. constant innovation is one of the key ways to protect companies intellectual property.people often ask which industries win and which lose from trade deals. some industries will undoubtedly benefit from specific tariff reductions, such as seafood companies under the canada - eu free trade deal. but overall, the firms that will benefit the most from freer access to global markets are those that do their homework, make deep local connections, and ."
2015-01-01,Kyle Matthews: The war on education,"more than two weeks have passed since the senseless school attack in peshawar, pakistan, by the taliban left more than 130 children dead. but the pain has not gone away hundreds of families remain in mourning, a country is in shock and the international community is wondering what can be done to protect students from such violence.that this cowardly use of force against young civilians took place just shortly after pakistan s malala yousafzai was awarded the nobel peace prize, alongside co - winner kailash satyarthi, an indian activist, should not surprise anyone.malala survived an assassination attempt by the pakistani taliban in 2012 in swat valley. she was targeted because of her efforts to ensure more girls attend school and empower themselves through education. the person believed to have ordered malala s murder and the attack against the school in peshawar is maulana fazlullah. he is better known as because of his preaching on an illegal radio station years ago in which he frequently condemned girls going to school, arguing it goes against the teachings of islam.commenting on the peshawar massacre, malala stated, i, along with millions of others around the world, mourn these children, my brothers and sisters but we will never be defeated. unfortunately non - state actors have been increasingly targeting educational institutions in recent years. just last december in afghanistan, taliban supporters launched a against a french school in kabul. while children and teachers gathered in the school auditorium to watch a play about the dangers of suicide attacks, someone slipped into the crowd and blew himself up, killing one.but the problem is not just limited to south asia. in nigeria the islamist group boko haram has carried out a series of deadly raids and attacks against non - religious educational institutions. the kidnapping of more than is just the most recent case. the group has made clear that targeting schools is a religious duty and that they , regardless of global public opinion or international human rights law.you know things are getting worse when an organization is formed to confront the problem. the gcpea was established in 2010 by numerous organizations who were concerned about on - going attacks on educational institutions, their students, and staff in countries affected by conflict and insecurity. gcpea is governed by a steering committee comprised of the council for at - risk academics, human rights watch, the institute of international education, save the children, as well several united nations agencies.the atlantic recently reported on the university of maryland s global terrorism database that that the problem has gotten worse in the past decade. while attacks against educational institutions sometimes occurred at the ratio of 100 per year at certain periods in the 1980s and 1990s, generally they would fluctuate at about 50. beginning in 2004, the numbers have spiked upwards, reaching approximately 370 in 2013.in response to the school attack in peshawar, gordon brown, the former prime minister of the united kingdom and current un special envoy for global education, argued that we should be defining attacks on schools as crimes against humanity. schools that already have the same legal rights under international law as hospitals should also be the subject of agreements that they never become instruments of war. in the wake of the peshawar attack, a consensus has emerged that increased global cooperation is needed to protect schools and students. the late nelson mandela accurately once noted that education is the most powerful weapon which you can use to change the world. we must not lose sight of the fact that those targeting schools and students know this to be an absolute truth."
2015-01-01,"Accused in Tanger shooting targeted man from Crips family, police say","ottawa police have ended a record year of shootings by arresting a man they allege shot and wounded another crips gang member at a crowded outlet mall on boxing day, sending a sea of shoppers and the city into panic.the accused, 26 - year - old yaqoub ali, like many of the persons of interest and even victims in the 49 reported shootings in 2014, is well known to the police guns and gangs unit.police arrested ali on tuesday afternoon after executing two east - end warrants. he appeared in court the morning of new year s eve to be formally charged with almost a dozen firearms - related offences, including possession of a firearm obtained by crime, endangering public safety and discharging with the intent to wound, endanger life or prevent arrest. investigations into other shootings in ottawa remain underway and we are significantly increasing the number of guns and gangs investigators looking into those cases. police have more than doubled investigators in the guns and gangs unit, adding 10 additional detectives to a team of usually eight at the tail end of what has, by sheer numbers alone, been ottawa s year of the gun.police say the year was marked by infighting among cells of what would otherwise be the same factions. allegiances are fleeting, and yaqoub ali s year highlights that.his alleged victim is part of a storied family with ties to the crips street gang.adel al - enzi was shot once in the foot with a .40 - calibre handgun in an alley of the outdoor tanger outlets mall on december 26, just two days before his 22nd birthday. adel was unco - operative with officers and police said that all five people believed to have been involved in the shooting were affiliated with the crips street gang.adel al - enzi himself was convicted in 2013 of dangerous driving and operating a motor vehicle while disqualified, and in 2012 of identity fraud and failing to stop for police. the driving charges are signature police tactics when dealing with persons continually under police monitoring. police conduct traffic stops on persons of interest and lay charges when they can.the motive of the boxing day shooting, investigators said, was infighting between crips members.in january, he was arrested with seven other men after police disrupted a home takeover at an apartment on baycrest drive.home takeovers occur when those in the drug trade seize control of a residence, usually by force or by plying the resident with drugs, so they can use it for criminal purposes. ali was charged with drug possession for the purpose of trafficking, possession of proceeds of crime and forcible confinement, but was convicted in february only of drug possession and unlawful entry.he paid a 400 fine and spent just 22 days in jail, after which he was back on the streets.at the time of the home takeover arrests, police seized two loaded handguns plus ammunition, marijuana and crack cocaine.arrested alongside ali in january was the brother of a man he s alleged to have shot on boxing day, suggesting that the gang ties that police have been investigating aren t ones that bind. members of one family can begin the year co - accused with a man, who will, by year s end, allegedly target their kin.adel and abdulaziz are half - brothers of nawaf al - enzi, who is awaiting a second trial for what s alleged to be the gangland execution of ledbury - banff crips member and drug dealer mohamad zalal.zalal, 22, was shot once in the back of the head as he was driven in a car along highway 417 in 2006. nawaf al - enzi was accused of being the trigger man. in august the court of appeal ruled that nawaf was the subject of a miscarriage of justice when no lawyer wanted to take on his defence midway through trial, forcing him to represent himself. his conviction was overturned. a new trial date has not yet been set.appearing by video from the courthouse cellblock wednesday morning, ali the final suspect charged by anti - gang police in 2014 wore a dark - coloured winter jacket. he kept his head down and his hands clasped in front of him for most of his brief appearance. he was ordered by the court not to communicate with the alleged target of his gunfire. the crown didn t consent to his release.ali is next scheduled to appear in court january 7 by video. shootings arrests of gang members and associates made by police crime guns seized number of previously arrested gang associates found by police to be breaching release conditions once back in the community in 2014"
2015-01-01,Paddlers rescued from freezing Ottawa River on New Year's Eve,"ottawa firefighters rescued four very lucky people who lost their canoe but not their lives after being rescued from the ottawa river just half an hour into the new year.a 911 call made around 12 37 a.m. new year s day alerted rescue crews to people stranded in a boat behind the supreme court of canada in downtown ottawa.ottawa fire service spokesperson marc messier said two water and ice rescue units found two men and two women in their 20s in a canoe clinging to an ice shelf in a desperate effort to stop their boat from being pulled downstream by the fast - moving currents.officials at the scene said the two couples wanted to do something different and adventurous to welcome in 2015. the currents are very strong there and dangerous at any time, said messier. but with the thaw last week and the rains the current is even stronger than usual. the situation was so precarious a third rescue unit was dispatched to the scene.the first rescue boat immediately went out to find the stranded paddlers and attempted to get them on a stable platform. then more boats were sent to ferry the stranded people to shore and keep crews safe. the two women were the first to be brought to shore, where they were assessed by paramedics.rescue workers stayed with the other stranded paddlers until they were able to be brought to shore. fortunately, none of them were wet otherwise hypothermia would have been a factor and it would have become an even more complicated rescue, said messier. and none of them had life jackets on. they were very lucky. messier said this rescue was particularly dangerous due to the darkness, fast moving ice and frigid waters.the ice floes catch the rescue crews lines, causing them to get entangled. there is also the risk of the ice damaging the rescue crafts as they are tossed by the strong currents, or tipping passengers into the freezing water. if you fall in the water you can get pulled underneath the ice and get trapped, he said.all four paddlers were assessed by paramedics and released after being reminded about water safety.they also lost their canoe. crews were going to attempt to recover it but decided it was not worth risking firefighters lives, said messier. so it is still out there, stuck on an ice floe somewhere. "
2015-01-01,Reevely: No sign yet of an LCBO 'express' store in Ottawa,"the province s plans to open liquor outlets inside grocery stores isn t moving along as quickly as planned. when finance minister charles sousa , he said at least some of the first 10 meant for a pilot project would be open by the end of the year.as i write, they ve got nine hours. doesn t look likely.in november, the lcbo it was moving toward leases for three locations one in toronto, one in mississauga, one in london. no deals done yet.i asked today, new year s eve, whether there s any progress toward a location in ottawa. there s no further update on lcbo express stores, macgregor told me.i m reading dregs a bit here, but i take from that that they re not on the verge of opening one of these here yet.the lcbo express concept is pretty restrictive, of course. last april, the lcbo spelled out its requirements for a store wanting to host a kiosk store, including that it have its own walls and separately lockable doors, be staffed by lcbo employees and keep its own hours. it d need its own secure storage room and either 2,000 or 3,000 square feet of floor space.the host stores will collect rent but the construction and implementation costs will be their own.in ottawa, the lcbo specified that it only wanted to hear from large grocery stores in a highly defined area, essentially part of vanier and new edinburgh, that it considers underserved by liquor stores so rather than exploring a model that might disrupt its existing business, the lcbo would just open a new location in a place it would probably want to open one anyway, except inside a supermarket.it s a pretty timid process, with a little more in it for the lcbo than for the host supermarket but not really very much in it for anybody. probably no big surprise it s not zipping along."
2015-01-01,Photos: Welcoming 2015 with a plunge,"it s a longstanding tradition across the world to celebrate the new year with a swim.many do so off sandy beaches with temperatures suitable for bathing. others, however, choose to swim accompanied by ice floating on the water and the gasps of their fellow bathers.no matter the clime, most continents saw at least a few choosing to celebrate the upcoming new year with a swim, including the foolhardy brave people of canada.here are a few images from the first plunges of 2015."
2015-01-01,Elections commissioner won't take Guelph robocalls case further,"investigators are not taking any steps to contact a key figure in the guelph robocalls case, despite a judicial finding that others were likely involved with the scheme that sent conservative campaign worker michael sona to jail late last year.after green party leader elizabeth may filed a complaint with commissioner of canada elections yves c t , officials from his office met with her to discuss the matter but advised they could do little to continue the investigation without new evidence.may wrote to c t in november asking him to investigate based on two judicial findings, including the sona verdict, in which judge gary heard noted the probability others were involved in the scheme that sent more than 7,000 automated calls to voters in guelph in the 2011 election. the calls directed voters to wrong polling stations.though he made no finding of who else may have participated, hearn specifically referred to guelph conservative campaign manager ken morgan and campaign worker andrew prescott, who was given immunity from prosecution in return for testimony against sona that hearn would later find largely useless.morgan, who ran the campaign of conservative candidate marty burke, has never been interviewed by the investigators who eventually brought charges against sona, the campaign s communications director.sona, 26, proclaimed his innocence even as he was convicted and sent off to jail in november. he has filed an appeal of his conviction and nine month sentence. he was freed on bail after spending 10 days in a provincial jail, pending the appeal.morgan s name appears 44 times in the judgment against sona but, as hearn noted, he was the only senior member of the guelph conservative campaign who didn t give testimony at trial.morgan refused to speak to elections canada investigators, according to court documents. the evidence and or absence of evidence might lead to the conclusion that one or more individuals were involved in this plan, hearn wrote. that may or may not be mr. prescott as alleged by the defence or may or may not be mr. morgan. in her office on parliament hill in early december, may met with c t s senior director of investigations, eric ferron, and his investigator, john dickson. they told her they would not be proceeding based on information she had provided but did not rule out reopening the case should new information arise.a spokesperson for c t s office said all the evidence from the guelph investigation has already been handed over to the crown for sona s trial.in his decision, hearn wrote that morgan had access to the conservative party voter - contact database, cims, that was the likely source of telephone numbers for identified non - conservative supporters. he also seemed to have been involved in obtaining contact information for racknine, the edmonton call centre used to launch the illegal calls, hearn said.during his testimony at sona s trial, prescott said morgan had emailed him to ask for a contact information for matt meier, who ran the edmonton - based voice broadcasting firm that the burke campaign had used previously for legitimate robocalls.prescott also described how morgan approached him on election day, after the misleading calls had gone out, and told him to log into racknine to stop the calls. morgan gave prescott a piece of paper with the login id and password for client 93, the racknine account set up under the fake name pierre jones that was used to launch the the calls.why morgan had the login information for the account was never addressed at trial.at last report, morgan was still living in kuwait and working at the american creativity academy, a private school in kuwait city that teaches a western curriculum. he has not commented publicly on the case that put the campaign he ran at the centre of the national political scandal.before moving overseas in august 2012, morgan had a long history with conservative politics in the guelph region. he had run for a position on guelph city council in 2006, but lost narrowly, and had also been president of the local conservative riding association. he managed the losing campaign of conservative candidate brent barr in 2006.through the riding association, he helped organize fundraising events with guest speakers such as former reform party leader preston manning, former alberta premier ralph klein, and senator doug finley, who had run the conservatives 2006 and 2008 federal election campaigns.in his candidate biography, morgan described himself as a husband and father and said he had a b.a. in political science from york university. his occupation was not clear, but morgan claimed accreditation in the fields of operation management and health and safety.in may 2011, shortly after the election, morgan graduated from niagara university in western new york with a master s degree in education, specializing in the primary and junior divisions.prescott testified that he had some infrequent contact with morgan since he moved to kuwait and said he suggested morgan consider an immunity deal of the kind the crown granted him.now, however, it appears unlikely morgan will ever be required to give evidence and may never even face questions from investigators.canada has no extradition treaty with kuwait."
2015-01-01,Gatineau family displaced by fire on New Yearâ€™s Eve,"a family of six was forced to start the new year homeless as a fire destroyed their gatineau residence on new year s eve.gatineau firefighters arrived at 258 sainte maxime street on wednesday just after 7 p.m. to discover flames erupting from the basement of the family s two - storey home.it took 22 firefighters with nine trucks just under an hour to put out the blaze.no injuries were reported but the family will not be able to return home for awhile. they are currently staying with relatives and are receiving assistance from the red cross, according to gatineau fire services.damages to house and its contents are estimated to be 250,000. the because of the fire is still under investigation."
2015-01-01,People to watch in 2015: Michael Maidment is feeding Ottawa's hungry,"michael maidment appears calm and collected despite working around the clock for the past several weeks. the executive director of the ottawa food bank kept hectic hours for much of november and december on food drives and fundraising events to feed the capital s hungry.more than 51,000 people turn to the food bank for help every month. that adds up to hundreds of thousands of cans of tuna, jars of peanut butter, loaves of bread and fresh fruit and veggies. but maidment, who s only been at the helm of the charitable organization for 16 months, isn t daunted by having to collect and distribute these mega volumes of food. i had a manager who used to call me spock, he said when asked to explain his ultra - calm demeanour in the throes of the stressful holiday rush. flashing his boyish dimples, he quipped, if your house is on fire, do you want someone who freaks out or someone who puts it out not even one recent forecast of 25 centimetres of snow rattles him. growing up in grand falls, nfld., he recalls one winter morning waking up to 90 cm of the white stuff, forcing he and his younger brother to crawl out a window to dig out the front door and help their dad find the car buried in the driveway.a lifelong member of the salvation army church, maidment, 40, was taught from an early age about helping those in need. his grandmother, whom he accompanied to church every sunday as a young boy, was an active volunteer and devoted hours to the salvation army s annual red shield fundraiser around the holidays. neighbour helping neighbour that s just what you do in a small town, says the kanata father of two, who worked for about seven years for the salvation army before being hired by the food bank in august 2013. that upbringing set me up for this job. what we do as an organization, we did as a small community. the food bank just operates on a much, much larger scale. what strikes me is how generous people are, says maidment, who credits a network of corporate sponsors, private donors and volunteers for helping the food bank meet the growing public demand. former ctv anchor max keeping always said ottawa is the most generous community. he s right. but as food costs, housing prices and hydro and property tax bills continue to climb, more families, single parents, seniors on a fixed income and new canadians will be forced to lean on the food bank for assistance in 2015. does maidment have a plan of attack to meet these mounting pressures macro thinking. i tell my staff it s seeing the issue from 30,000 feet, says mr. cool, who confesses to lying awake at night doing a lot of strategic planning. at the top of his to - do list is increasing the volume of organic produce the food bank s community harvest program grows on donated land in stittsville and expanding the variety of nutritious foods available to clients. he d also like to implement a more efficient system for sorting through the mountain of grocery store bins in the warehouse and continue to grow the food bank s surplus revenue fund so extra food can be purchased when donations typically dwindle between january and march.maidment was looking forward to some quiet time over the holidays with his wife leanne, daughter emma, 12 and son gabriel, 9. but feeding the hungry will not be far from his thoughts. i feel privileged to do this job. it s a very rewarding role, said maidment from his bright office where a collection of starbucks mugs i love my americano and a cfl football signed by redblacks quarterback henry burris, are displayed on a shelf near his desk. i get to feed people it makes the hours and stress really worth it. years the ottawa food bank has been operatingthe number of people whouse the food bank every month the size of the food bank warehouse in gloucesterhow much food was donated to the food bank last fiscal year october 1, 2013 to sept. 30, 2014 the amount of food the weight equivalent of 55 elephants distributed by the food bank in a monthhow many cans of tuna distributed last year how much the food bank spent on peanut butter last year 33,324 kg the yield of vegetables and fruit grown on donated land in stittsville last year the number of volunteers who help deliver, pick up and sort food, answer phones and work special events number of agencies the food bank supports"
2015-01-01,Free rides on for New Year's Eve celebrants,"for party folks out and about this new year s eve there are a couple of free ride options available around the city.starting at 8 p.m., oc transpo and para transpo are providing free trips until the early hours of the morning. after midnight, certain routes will make extra trips to insure efficient travel, including route 96 to stittsville and route 97 to bells corners.the free service is sponsored by madd ottawa and the city s safer roads ottawa program.another option is taking operation red nose. volunteers in teams of three pick up the client and drive his or her car back home. service will begin at 8 p.m. and end at 3 30 a.m.in ottawa, they will pick up and drive people across the region, including blackburn hamlet, gloucester, nepean and orl ans. they will also drive clients to barrhaven, bells corner, cumberland, kanata and rockland, but won t pick up from these areas.operation red nose is still looking for more volunteers for new years eve. for more information call 819 - 771 - 2886.to get a ride from the service call 613 - 820 - 6673 nose ."
